route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
30-331,230501-MULTI-Weekday-05,23002871-230501-MULTI-Weekday-05,"30 AIRPORT ROAD SOUTH",1,1005774,300083,1,1
30-331,230501-MULTI-Weekday-05,23002872-230501-MULTI-Weekday-05,"30 AIRPORT ROAD SOUTH",1,1005776,300083,1,1
9-331,230501-MULTI-Weekday-05,23002873-230501-MULTI-Weekday-05,"9 VODDEN WEST",1,1005404,90027,1,1
51-331,230501-MULTI-Weekday-05,23002874-230501-MULTI-Weekday-05,"51 HEREFORD EAST",0,1005423,510036,1,1
9-331,230501-MULTI-Weekday-05,23002875-230501-MULTI-Weekday-05,"9 VODDEN EAST",0,1005404,90032,1,1
60-331,230501-MULTI-Weekday-05,23002876-230501-MULTI-Weekday-05,"60 MISSISSAUGA ROAD NORTH",0,1005492,600004,1,1
60-331,230501-MULTI-Weekday-05,23002877-230501-MULTI-Weekday-05,"60 MISSISSAUGA ROAD SOUTH",1,1005492,600008,1,1
30-331,230501-MULTI-Weekday-05,23002878-230501-MULTI-Weekday-05,"30 AIRPORT ROAD NORTH",0,1005777,300082,1,1
30-331,230501-MULTI-Weekday-05,23002879-230501-MULTI-Weekday-05,"30 AIRPORT ROAD NORTH",0,1005779,300082,1,1
51-331,230501-MULTI-Weekday-05,23002880-230501-MULTI-Weekday-05,"51 HEREFORD WEST",1,1005423,510037,1,1
23-331,230501-MULTI-Weekday-05,23002881-230501-MULTI-Weekday-05,"23 SANDALWOOD EAST",0,1005456,230122,1,1
23-331,230501-MULTI-Weekday-05,23002882-230501-MULTI-Weekday-05,"23 SANDALWOOD WEST",1,1005458,230126,1,1
60-331,230501-MULTI-Weekday-05,23002883-230501-MULTI-Weekday-05,"60 MISSISSAUGA ROAD NORTH",0,1005492,600006,1,1
18-331,230501-MULTI-Weekday-05,23002884-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005888,180152,1,1
18-331,230501-MULTI-Weekday-05,23002885-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005892,180152,1,1
18-331,230501-MULTI-Weekday-05,23002886-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005895,180152,1,1
18-331,230501-MULTI-Weekday-05,23002887-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005896,180152,1,1
18-331,230501-MULTI-Weekday-05,23002888-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005898,180152,1,1
18-331,230501-MULTI-Weekday-05,23002889-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005899,180152,1,1
18-331,230501-MULTI-Weekday-05,23002890-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005901,180152,1,1
18-331,230501-MULTI-Weekday-05,23002891-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005887,180176,1,1
18-331,230501-MULTI-Weekday-05,23002892-230501-MULTI-Weekday-05,"18 DIXIE NORTH",0,1005890,180176,1,1
18-331,230501-MULTI-Weekday-05,23002893-230501-MULTI-Weekday-05,"18 DIXIE SOUTH",1,1005907,180187,1,1
18-331,230501-MULTI-Weekday-05,23002894-230501-MULTI-Weekday-05,"18 DIXIE SOUTH",1,1005887,180189,1,1
18-331,230501-MULTI-Weekday-05,23002895-230501-MULTI-Weekday-05,"18 DIXIE SOUTH",1,1005890,180189,1,1
18-331,230501-MULTI-Weekday-05,23002896-230501-MULTI-Weekday-05,"18 DIXIE SOUTH",1,1005891,180189,1,1
18-331,230501-MULTI-Weekday-05,23002897-230501-MULTI-Weekday-05,"18 DIXIE SOUTH",1,1005894,180189,1,1
18-331,230501-MULTI-Weekday-05,23002898-230501-MULTI-Weekday-05,"18 DIXIE SOUTH",1,1005886,180187,1,1
18-331,230501-MULTI-Weekday-05,23002899-230501-MULTI-Weekday-05,"18 DIXIE SOUTH",1,1005897,180187,1,1
52-331,230501-MULTI-Weekday-05,23002900-230501-MULTI-Weekday-05,"52 MCMURCHY NORTH",0,1005403,520026,1,1
52-331,230501-MULTI-Weekday-05,23002901-230501-MULTI-Weekday-05,"52 MCMURCHY SOUTH",1,1005403,520038,1,1
56-331,230501-MULTI-Weekday-05,23002902-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002903-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002904-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002905-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002906-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002907-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002908-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002909-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002910-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002911-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002912-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002913-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002914-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
56-331,230501-MULTI-Weekday-05,23002915-230501-MULTI-Weekday-05,"56 KINGKNOLL LOOP",1,1005429,560027,1,1
